t_sec,phase,step_idx,v_z_cmd_ENU,v_z_cmd_NED_z,odom_frame,z_ENU,vz_ENU_meas,vz_NED_meas,alt_min,alt_max,armed,offboard
1761725769.426798,STEP,0,0.500000,-0.500000,odom,1.532994,0.209718,-0.343024,0.500,5.000,1,1
1761725769.444490,STEP,0,0.500000,-0.500000,odom,1.532994,0.000000,-0.343024,0.500,5.000,1,1
1761725769.465061,STEP,0,0.500000,-0.500000,odom,1.532994,0.000000,-0.343024,0.500,5.000,1,1
1761725769.484436,STEP,0,0.500000,-0.500000,odom,1.532994,0.000000,-0.343024,0.500,5.000,1,1
1761725769.504743,STEP,0,0.500000,-0.500000,odom,1.532994,0.000000,-0.343024,0.500,5.000,1,1
1761725769.526808,STEP,0,0.500000,-0.500000,odom,1.532994,0.000000,-0.343024,0.500,5.000,1,1
1761725769.544323,STEP,0,0.500000,-0.500000,odom,1.532994,0.000000,-0.343024,0.500,5.000,1,1
1761725769.564336,STEP,0,0.500000,-0.500000,odom,1.532994,0.000000,-0.343024,0.500,5.000,1,1
1761725769.584655,STEP,0,0.500000,-0.500000,odom,1.532994,0.000000,-0.343024,0.500,5.000,1,1
1761725769.604249,STEP,0,0.500000,-0.500000,odom,1.532994,0.000000,-0.365925,0.500,5.000,1,1
1761725769.625396,STEP,0,0.500000,-0.500000,odom,1.545535,0.235124,-0.372737,0.500,5.000,1,1
1761725769.644296,STEP,0,0.500000,-0.500000,odom,1.545535,0.164587,-0.372737,0.500,5.000,1,1
1761725769.664337,STEP,0,0.500000,-0.500000,odom,1.545535,0.000000,-0.372737,0.500,5.000,1,1
1761725769.684341,STEP,0,0.500000,-0.500000,odom,1.545535,0.000000,-0.372737,0.500,5.000,1,1
1761725769.704303,STEP,0,0.500000,-0.500000,odom,1.545535,0.000000,-0.372737,0.500,5.000,1,1
1761725769.724745,STEP,0,0.500000,-0.500000,odom,1.545535,0.000000,-0.372737,0.500,5.000,1,1
1761725769.744366,STEP,0,0.500000,-0.500000,odom,1.545535,0.000000,-0.372737,0.500,5.000,1,1
1761725769.764326,STEP,0,0.500000,-0.500000,odom,1.545535,0.000000,-0.372737,0.500,5.000,1,1
1761725769.784181,STEP,0,0.500000,-0.500000,odom,1.545535,0.000000,-0.379112,0.500,5.000,1,1
1761725769.804332,STEP,0,0.500000,-0.500000,odom,1.545535,0.000000,-0.385132,0.500,5.000,1,1
1761725769.824528,STEP,0,0.500000,-0.500000,odom,1.558981,0.252087,-0.396220,0.500,5.000,1,1
1761725769.844632,STEP,0,0.500000,-0.500000,odom,1.558981,0.176461,-0.396220,0.500,5.000,1,1
1761725769.864445,STEP,0,0.500000,-0.500000,odom,1.558981,0.000000,-0.396220,0.500,5.000,1,1
1761725769.884341,STEP,0,0.500000,-0.500000,odom,1.558981,0.000000,-0.396220,0.500,5.000,1,1
1761725769.904344,STEP,0,0.500000,-0.500000,odom,1.558981,0.000000,-0.396220,0.500,5.000,1,1
1761725769.924368,STEP,0,0.500000,-0.500000,odom,1.558981,0.000000,-0.396220,0.500,5.000,1,1
1761725769.944359,STEP,0,0.500000,-0.500000,odom,1.558981,0.000000,-0.396220,0.500,5.000,1,1
1761725769.964351,STEP,0,0.500000,-0.500000,odom,1.558981,0.000000,-0.396220,0.500,5.000,1,1
1761725769.984329,STEP,0,0.500000,-0.500000,odom,1.558981,0.000000,-0.396220,0.500,5.000,1,1
1761725770.004975,STEP,0,0.500000,-0.500000,odom,1.558981,0.000000,-0.401249,0.500,5.000,1,1
1761725770.024350,STEP,0,0.500000,-0.500000,odom,1.558981,0.000000,-0.410550,0.500,5.000,1,1
1761725770.044416,STEP,0,0.500000,-0.500000,odom,1.573130,0.212233,-0.418773,0.500,5.000,1,1
1761725770.066716,STEP,0,0.500000,-0.500000,odom,1.573130,0.148563,-0.418773,0.500,5.000,1,1
1761725770.084360,STEP,0,0.500000,-0.500000,odom,1.573130,0.000000,-0.418773,0.500,5.000,1,1
1761725770.104581,STEP,0,0.500000,-0.500000,odom,1.573130,0.000000,-0.418773,0.500,5.000,1,1
1761725770.124315,STEP,0,0.500000,-0.500000,odom,1.573130,0.000000,-0.418773,0.500,5.000,1,1
1761725770.144438,STEP,0,0.500000,-0.500000,odom,1.573130,0.000000,-0.418773,0.500,5.000,1,1
1761725770.166164,STEP,0,0.500000,-0.500000,odom,1.573130,0.000000,-0.418773,0.500,5.000,1,1
1761725770.184330,STEP,0,0.500000,-0.500000,odom,1.573130,0.000000,-0.418773,0.500,5.000,1,1
1761725770.204298,STEP,0,0.500000,-0.500000,odom,1.573130,0.000000,-0.418773,0.500,5.000,1,1
1761725770.224417,STEP,0,0.500000,-0.500000,odom,1.573130,0.000000,-0.426071,0.500,5.000,1,1
1761725770.244654,STEP,0,0.500000,-0.500000,odom,1.587808,0.220163,-0.429347,0.500,5.000,1,1
1761725770.264431,STEP,0,0.500000,-0.500000,odom,1.587808,0.154114,-0.429347,0.500,5.000,1,1
1761725770.286015,STEP,0,0.500000,-0.500000,odom,1.587808,0.000000,-0.429347,0.500,5.000,1,1
1761725770.304318,STEP,0,0.500000,-0.500000,odom,1.587808,0.000000,-0.429347,0.500,5.000,1,1
1761725770.324639,STEP,0,0.500000,-0.500000,odom,1.587808,0.000000,-0.429347,0.500,5.000,1,1
1761725770.344548,STEP,0,0.500000,-0.500000,odom,1.587808,0.000000,-0.429347,0.500,5.000,1,1
1761725770.364313,STEP,0,0.500000,-0.500000,odom,1.587808,0.000000,-0.429347,0.500,5.000,1,1
1761725770.384393,STEP,0,0.500000,-0.500000,odom,1.587808,0.000000,-0.429347,0.500,5.000,1,1
1761725770.404304,STEP,0,0.500000,-0.500000,odom,1.587808,0.000000,-0.432430,0.500,5.000,1,1
1761725770.424659,STEP,0,0.500000,-0.500000,odom,1.587808,0.000000,-0.440681,0.500,5.000,1,1
1761725770.444794,STEP,0,0.500000,-0.500000,odom,1.602873,0.225962,-0.440681,0.500,5.000,1,1
1761725770.464344,STEP,0,0.500000,-0.500000,odom,1.602873,0.158174,-0.440681,0.500,5.000,1,1
1761725770.484689,STEP,0,0.500000,-0.500000,odom,1.602873,0.000000,-0.440681,0.500,5.000,1,1
1761725770.504317,STEP,0,0.500000,-0.500000,odom,1.602873,0.000000,-0.440681,0.500,5.000,1,1
